description,date,title,name_medio,scope_medio
"El satélite Saocom 1B ya está en su órbita. La misión de este artefacto de 3 mil kilos es controlar la humedad del suelo, un dato clave para la producción agropecuaria, la prevención de incendios e inundaciones y el cuidado de los ecosistemas. Su desarrollo llevó décadas y es un gol para la ciencia argentina por la sofisticación de su diseño y porque soluciona problemas locales. Nadia Luna habló con los y las científicas que lo crearon, que en el último mes ensayaron su lanzamiento hasta en sueños.",2020-09-07,La ciencia está en órbita,Télam,Nacional
Las autoridades investigan si estaba combatiendo las llamas. Un helicóptero lo trasladó a un hospital.,2020-09-24,Encuentran a un hombre con el 98 por ciento del cuerpo quemado entre los incendios en Córdoba,Clarín,Nacional
"El ministro de Ambiente, Juan Cabandié, sobrevoló este jueves junto al secretario de la cartera local, Juan Carlos Scotto, los sectores de la zona sur del Valle de Punilla de Córdoba que están sufriendo considerables incendios desde hace tres días, manifestó su intención de ""colaborar"" con las autoridades provinciales y pidió ""mayor ahínco en la agenda ambiental"".",2020-09-24,"Cabandié sobrevoló los incendios en Córdoba y pidió ""mayor ahínco en la agenda ambiental""",La Voz,Provincial
"Diego Concha, titular de esa fuerza, sentenció que ""ningún civil debe estar en un incendio, ponen en riesgo su integridad física""",2020-09-24,"Los vecinos se suman al combate contra los incendios en Córdoba, pero desde Defensa Civil piden que no se acerquen al fuego",Clarín,Nacional
"&amp;ldquo;Tenemos que tener responsabilidad, pero no solamente los estados, sino también el sector productivo y la ciudadanía, porque el 95% de los fuegos son intencionales&amp;rdquo;, indicó el ministro de Ambiente.",2020-09-24,"Cabandié sobrevoló los incendios  y pidió ""mayor ahínco en la agenda ambiental""",Télam,Nacional
"Otro día sin descanso para los bomberos que combaten varios focos en distintos puntos de las serranías. 
                                                                                                    Por quinto día consecutivo, el fuego no da tregua a los bomberos. Este jueves los brigadistas seguían luchando contra los incendios en las Sierras de Córdoba, en una jornada otra vez marcada por los fuertes vientos desde el norte y las altas temperaturas.",2020-09-24,"Incendios en Córdoba: uno por uno, qué focos permanecen activos y cuáles controlados",La Voz,Provincial
"Más de 400 bomberos voluntarios continuaban combatiendo distintos focos que siguen activos en las serranías de Córdoba, mientras llegó a la zona el ministro de Ambiente, Juan Cabandié.",2020-09-24,El fuerte viento y falta de humedad complican la tarea de los bomberos en los incendios,Télam,Nacional
Las cuadrillas de bomberos van y vienen. No hay tiempo para descansar. La gente ayuda como puede. Los daños son incontables. Crónica desde el frente.,2020-09-24,"Clarín en los incendios de Córdoba: ojos rojos, vecinos en riesgo y llamas que llegan a los barrios de Villa Carlos Paz",Clarín,Nacional
"""El mundo tiene una fiebre alta y está ardiendo. Las alteraciones climáticas son noticia diaria, desde devastadores incendios forestales hasta inundaciones récord"", alertó el secretario general de Naciones Unidas, António Guterres.<br />",2020-09-24,"La ONU advirtió que ""el mundo está ardiendo y es urgente revertir el curso del cambio climático""",Télam,Nacional
"Ocurrió en la zona del Río Pinto. De acuerdo con los primeros datos, tendría serias lesiones provocadas por el fuego. Lo rescatará un helicóptero de la Provincia.",2020-09-24,Incendios en Córdoba: encontraron a un joven con graves quemaduras en uno de los focos,La Voz,Provincial
"De un momento a otro, la vivienda quedó rodeada por las llamas. ""Vamos, que se queme todo"", llegó a decir Adriana Fossa.",2020-09-24,"Incendios en Córdoba: ""Fue como si viniese un monstruo"", el dramático relato de una fotógrafa que salvó su casa del fuego",Clarín,Nacional
